"ME_MHCII_high_S1"	"ME_MHCII_high_S2"	"ME_MHCII_high_S3"	"ME_MHCII_high_S4"	"ME_MHCII_int_S1"	"ME_MHCII_int_S2"	"ME_MHCII_int_S3"	"ME_MHCII_int_S4"	"PM_S1_2_S4"	"PM_S2_1_S1"	"PM_S3_1_S2"	"PM_S4_1_S3"
"0610005C13Rik"	0	0	0	0	2	0	0	1	0	0	0	0
"0610007P14Rik"	879	670	512	353	574	765	482	561	945	600	1031	684
"0610009B22Rik"	532	440	397	409	466	493	410	613	579	485	670	313
"0610009L18Rik"	56	50	70	38	45	126	56	65	41	46	27	21
"0610009O20Rik"	222	199	189	147	286	469	345	321	242	255	301	211
"0610010B08Rik"	14	5	7	8	4	21	12	14	17	16	25	25
"0610010F05Rik"	986	741	786	775	760	823	774	753	1288	1112	1559	1031
"0610010K14Rik"	1074	861	965	1004	953	1225	1045	1129	641	608	1073	428
"0610011F06Rik"	183	105	118	119	137	200	120	157	156	166	200	181
"0610012G03Rik"	1189	865	995	841	1061	1317	1148	1195	753	933	1264	635
"0610030E20Rik"	1122	778	682	872	887	868	636	1067	597	737	606	582
"0610031O16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"0610037L13Rik"	593	474	470	469	544	831	719	646	596	704	922	507
"0610038B21Rik"	5	10	0	0	2	3	3	0	3	1	3	0
"0610039H22Rik"	0	0	0	0	0	0	0	0	0	2	0	6
"0610039K10Rik"	14	3	9	9	11	15	7	7	3	0	0	1
"0610040B10Rik"	1	11	0	7	4	10	3	13	3	5	22	0
"0610040F04Rik"	0	0	0	0	0	0	0	0	11	1	3	6
"0610040J01Rik"	959	830	784	844	1487	2321	1724	1704	345	285	419	219
"0610043K17Rik"	0	5	0	0	0	15	0	2	1	0	1	0
"1010001N08Rik"	0	0	0	1	1	0	0	0	66	62	56	52
"1110001J03Rik"	148	143	171	161	89	105	89	81	257	202	456	179
"1110002L01Rik"	19	13	18	27	12	32	11	12	16	42	27	27
"1110004E09Rik"	124	114	176	172	112	239	132	127	326	339	505	216
"1110004F10Rik"	2550	1759	2086	2149	1744	2201	2100	2208	3445	2553	3845	2396
"1110006O24Rik"	12	0	1	17	34	9	11	11	9	21	19	4
"1110007C09Rik"	1209	859	1029	921	1113	1678	1355	1332	1940	2609	3204	1737
"1110008F13Rik"	1864	1076	1177	1276	1648	1661	1519	1478	3905	3221	4699	2827
"1110008L16Rik"	259	270	275	244	259	281	188	164	356	273	258	258
"1110008P14Rik"	139	136	97	118	120	156	142	124	263	253	314	220
"1110012L19Rik"	271	174	257	172	182	217	201	237	384	356	436	257
"1110015O18Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1110017D15Rik"	0	0	7	0	0	0	1	5	0	1	1	0
"1110019D14Rik"	59	41	39	116	48	56	53	104	101	134	108	58
"1110020A21Rik"	0	4	5	4	1	4	3	5	8	6	5	1
"1110025L11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1110028F11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1110028F18Rik"	0	0	0	0	1	0	0	0	0	0	0	0
"1110032A03Rik"	374	278	221	367	320	419	349	454	384	352	297	187
"1110032F04Rik"	0	0	8	0	0	0	0	0	0	0	0	9
"1110034G24Rik"	241	163	125	177	233	304	214	280	394	267	398	262
"1110036E04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1110037F02Rik"	1577	1136	1308	1279	1326	1294	1050	1421	2638	1648	2270	1773
"1110038B12Rik"	26	15	50	25	36	58	17	32	44	58	72	33
"1110038F14Rik"	610	305	321	454	435	731	558	435	542	494	570	365
"1110046J04Rik"	18	11	11	6	5	6	28	17	9	1	6	4
"1110051M20Rik"	254	124	168	264	270	374	282	219	198	85	140	69
"1110058D11Rik"	1	0	0	0	0	0	0	0	0	0	0	0
"1110059E24Rik"	612	531	503	494	567	686	555	717	1387	794	1340	673
"1110059G10Rik"	509	373	314	402	375	397	344	342	593	436	583	327
"1110065P20Rik"	132	47	70	94	92	114	132	80	121	115	163	82
"1190002F15Rik"	20	36	5	47	13	16	8	20	56	28	56	10
"1190002N15Rik"	1604	1164	1273	1113	1254	1073	1011	994	679	658	562	730
"1190003K10Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1190005I06Rik"	0	0	0	0	3	0	0	0	0	0	0	0
"1190007I07Rik"	112	66	101	72	147	121	104	133	236	133	246	157
"1200014J11Rik"	771	640	743	696	685	828	722	642	572	664	682	485
"1300002E11Rik"	140	203	81	140	173	266	144	249	162	259	219	187
"1300017J02Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1500004A13Rik"	50	18	12	42	21	52	19	17	19	15	14	8
"1500009C09Rik"	0	0	0	0	0	0	0	1	0	0	0	0
"1500009L16Rik"	0	0	0	0	3	7	3	14	0	0	0	0
"1500011B03Rik"	406	227	226	232	248	349	210	289	186	204	220	119
"1500011K16Rik"	434	372	456	332	394	418	456	444	1012	725	1239	595
"1500012F01Rik"	137	103	111	245	117	121	179	199	284	121	194	127
"1500012K07Rik"	0	0	0	0	0	0	0	1	0	0	0	0
"1500015A07Rik"	48	56	38	71	18	26	53	31	36	48	7	16
"1500015L24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1500015O10Rik"	171	177	115	280	131	157	90	181	0	0	0	0
"1500017E21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1500026H17Rik"	18	9	0	8	14	14	15	10	9	1	4	1
"1600002D24Rik"	13	0	3	0	7	0	3	12	0	0	0	0
"1600002H07Rik"	104	69	60	113	88	140	132	101	131	123	141	96
"1600002K03Rik"	187	142	171	154	164	209	151	146	185	171	206	107
"1600010M07Rik"	219	227	197	203	79	161	95	212	172	106	135	74
"1600012H06Rik"	1302	1114	923	1111	1614	1969	1394	1379	1215	1397	1387	1074
"1600014C10Rik"	3251	1036	1394	1834	1943	1282	1317	1576	2169	985	1484	1645
"1600014C23Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1600014K23Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1600015I10Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1600019K03Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1600020E01Rik"	62	47	67	56	57	45	45	71	53	53	67	38
"1600023N17Rik"	0	0	0	0	9	5	7	0	0	7	9	0
"1600025M17Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1600027J07Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1600029I14Rik"	0	0	0	0	0	0	0	1	3	0	0	0
"1600029O15Rik"	1	2	0	1	0	1	0	0	1	2	1	0
