"BN_S1"	"BN_S2"	"BN_S3"	"BN_S4"	"Bplus_S1"	"Bplus_S2"	"Bplus_S3"	"Bplus_S4"	"MG35_S1"	"MG35_S2"	"MG35_S3"	"MG35_S4"	"NCPM_S1"	"NCPM_S2"	"NCPM_S3"	"NCPM_S4"	"NMG_S1"	"NMG_S3"	"NMG_S4"	"NMG_S5"
"0610005C13Rik"	0	2	0	1	0	0	0	0	2	0	1	1	0	0	0	0	0	3	0	2
"0610007P14Rik"	386	336	316	310	485	482	425	407	446	507	432	427	446	407	384	533	304	265	301	263
"0610009B22Rik"	231	254	179	229	183	200	175	186	198	167	172	176	193	224	199	202	185	239	274	163
"0610009L18Rik"	18	16	13	30	11	7	7	15	23	23	19	25	31	41	37	39	36	29	33	21
"0610009O20Rik"	97	90	107	76	70	63	58	74	105	118	116	147	118	121	133	151	270	232	297	221
"0610010B08Rik"	3	7	2	1	2	0	0	0	2	3	2	5	3	4	5	5	5	2	5	0
"0610010F05Rik"	480	375	499	530	453	439	462	551	190	219	302	354	352	425	319	290	181	196	192	217
"0610010K14Rik"	217	301	235	250	320	381	277	303	472	481	421	398	414	490	543	598	595	612	737	547
"0610011F06Rik"	60	92	52	76	99	75	82	100	48	50	46	39	140	107	158	159	51	224	72	77
"0610012G03Rik"	709	679	598	907	656	815	653	1057	409	475	383	568	482	431	537	592	279	375	347	232
"0610030E20Rik"	272	199	252	165	311	304	347	235	296	296	303	257	413	555	518	495	317	190	296	261
"0610031O16Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0610037L13Rik"	248	309	232	306	251	277	241	291	293	372	364	315	228	247	306	301	518	581	638	585
"0610038B21Rik"	1	2	3	1	4	4	1	1	0	0	0	0	1	2	2	4	1	1	0	1
"0610039H22Rik"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1
"0610039K10Rik"	0	2	2	6	5	0	1	3	8	6	11	7	5	5	6	7	15	14	12	16
"0610040B10Rik"	1	9	2	4	0	0	2	2	3	5	2	5	1	0	2	2	6	1	1	2
"0610040F04Rik"	1	7	3	0	1	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"0610040J01Rik"	117	103	105	111	143	175	116	132	1829	1799	1773	1533	1173	1246	1279	1058	4101	3830	5478	3721
"0610043K17Rik"	3	0	2	0	0	0	1	0	3	1	0	0	1	1	2	0	1	0	0	0
"1010001N08Rik"	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	0	0	0	0
"1110001J03Rik"	58	44	38	77	94	100	95	84	35	28	28	19	48	71	61	72	24	62	24	20
"1110002L01Rik"	1	7	2	2	9	7	1	6	7	8	8	9	27	17	17	17	26	25	26	32
"1110004E09Rik"	118	137	110	160	107	123	107	165	93	71	96	121	129	131	109	156	93	368	125	69
"1110004F10Rik"	1505	1370	1390	1969	1609	1647	1421	1649	971	1118	1036	905	1002	1014	1138	1186	992	1172	1151	927
"1110006O24Rik"	6	12	6	5	5	5	7	17	7	9	6	1	3	4	2	4	9	6	8	2
"1110007C09Rik"	1877	1919	1912	2277	1935	2115	2049	2392	432	381	507	630	336	525	545	465	466	580	664	501
"1110008F13Rik"	979	1162	1015	1291	1290	1462	1240	1401	862	938	781	885	765	733	870	918	614	625	792	594
"1110008L16Rik"	108	163	78	141	122	126	161	172	156	171	181	185	96	144	122	133	128	175	162	170
"1110008P14Rik"	281	283	291	522	188	207	308	401	37	49	39	52	56	57	69	87	12	50	18	15
"1110012L19Rik"	119	152	107	152	161	148	134	146	93	105	94	108	125	120	138	162	107	113	99	102
"1110015O18Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110017D15Rik"	2	1	2	1	1	0	1	2	0	0	0	1	10	30	20	14	6	91	3	1
"1110019D14Rik"	15	19	14	7	14	11	8	3	16	10	6	15	16	22	18	40	35	39	43	38
"1110020A21Rik"	0	1	1	2	0	2	0	4	3	0	2	0	1	1	1	1	2	3	2	3
"1110025L11Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110028F11Rik"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"1110028F18Rik"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110032A03Rik"	146	177	184	180	106	160	163	123	215	181	214	221	203	224	210	228	163	300	154	114
"1110032F04Rik"	0	0	0	0	0	0	0	0	0	0	0	0	26	25	20	53	0	9	0	0
"1110034G24Rik"	87	90	49	74	87	85	87	53	98	107	73	55	111	126	119	143	116	104	124	120
"1110036E04Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1110037F02Rik"	462	404	494	612	554	491	564	474	524	552	577	534	636	767	648	691	699	470	676	662
"1110038B12Rik"	27	33	35	41	48	53	50	64	41	61	73	64	8	13	7	17	17	14	18	14
"1110038F14Rik"	482	495	573	565	523	506	557	523	280	249	277	251	215	251	274	333	212	193	263	211
"1110046J04Rik"	0	0	1	3	0	0	0	0	3	4	0	4	5	4	2	7	4	1	0	1
"1110051M20Rik"	111	129	124	133	96	101	103	97	164	188	170	172	150	127	171	158	186	309	281	250
"1110058D11Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"1110059E24Rik"	291	272	260	417	290	321	335	413	309	280	287	239	255	238	254	268	235	228	330	274
"1110059G10Rik"	165	173	163	248	201	190	156	313	217	224	213	279	155	208	211	215	167	146	188	169
"1110065P20Rik"	91	92	93	150	113	134	99	133	97	86	81	113	65	74	66	88	43	73	59	59
"1190002F15Rik"	1	2	0	0	0	1	1	1	7	3	5	6	3	1	5	5	1	1	0	3
"1190002N15Rik"	449	528	386	424	383	395	476	372	679	724	764	629	1130	1145	1216	1138	897	623	730	859
"1190003K10Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1190005I06Rik"	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	3	0	0
"1190007I07Rik"	47	59	53	69	74	53	69	56	50	44	54	44	44	58	53	47	42	36	71	51
"1200014J11Rik"	252	281	283	351	327	278	353	399	540	414	528	582	267	308	293	344	709	624	636	665
"1300002E11Rik"	78	66	53	72	33	32	47	28	47	26	44	23	71	79	73	95	76	78	92	75
"1300017J02Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"1500004A13Rik"	4	1	4	8	20	0	9	12	13	13	23	15	6	18	12	7	13	11	10	23
"1500009C09Rik"	3	1	3	4	3	4	2	5	2	0	0	0	0	0	2	0	0	7	0	2
"1500009L16Rik"	0	0	0	5	0	0	1	0	1	2	0	0	18	12	13	52	1	4	0	2
"1500011B03Rik"	146	128	159	281	168	137	166	246	131	121	117	201	148	143	201	191	80	165	71	66
"1500011K16Rik"	207	212	216	205	152	184	187	197	113	163	102	126	128	153	145	159	126	122	120	84
"1500012F01Rik"	154	151	126	200	326	327	237	282	299	249	267	294	40	75	33	50	29	68	73	43
"1500012K07Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
"1500015A07Rik"	9	17	11	15	17	19	17	18	24	17	26	19	24	29	22	24	16	11	14	6
"1500015L24Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1500015O10Rik"	12	4	34	5	11	16	1	0	65	25	39	5	803	564	636	488	11	3168	120	70
"1500017E21Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1500026H17Rik"	0	0	0	2	0	0	0	1	0	0	0	0	1	2	1	1	1	0	1	4
"1600002D24Rik"	0	0	1	0	0	1	0	0	0	3	0	0	2	3	1	6	0	0	0	0
"1600002H07Rik"	28	26	18	40	30	27	21	34	40	25	40	44	54	66	66	53	54	40	53	53
"1600002K03Rik"	69	79	47	55	43	69	44	75	47	50	45	47	83	91	101	101	60	50	87	49
"1600010M07Rik"	64	72	46	61	70	52	49	53	25	47	32	38	45	56	55	49	37	24	38	24
"1600012H06Rik"	493	375	452	466	507	480	506	549	592	551	420	463	851	786	822	986	877	567	756	694
"1600014C10Rik"	2337	3042	2488	2270	3406	4402	3631	2931	2067	2442	2125	1647	1276	1379	1502	1507	1394	1030	1244	1922
"1600014C23Rik"	1	1	1	3	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
"1600014K23Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1600015I10Rik"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"1600019K03Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1600020E01Rik"	17	18	15	32	20	26	26	20	44	40	58	57	16	33	29	30	32	60	42	49
"1600023N17Rik"	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	3	0	3	0	2
"1600025M17Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1600027J07Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1600029I14Rik"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"1600029O15Rik"	0	1	0	0	0	0	1	1	0	0	1	0	2	0	0	0	1	0	2	0
"1700001C02Rik"	0	0	0	0	0	0	0	0	0	0	4	0	4	9	9	2	0	23	2	0
"1700001C19Rik"	5	8	5	16	10	6	1	8	29	48	32	66	1	1	0	0	54	63	40	37
"1700001D01Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1700001F09Rik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
